transcript_id	gene_symbol	gene_family	n_conditions	n_MANE_higher	n_CDS_higher	n_equal	n_CDS_zero	frac_MANE_higher	frac_CDS_higher	frac_CDS_zero	median_ratio_mane_over_cds	median_tpm_mane	median_tpm_cds	classification
ENST00000242839.10	ATP7B		22	0	0	0	22	0.0	0.0	1.0	NA	51.5517	0.0	no_CDS_signal
ENST00000243189.12	RSRP1		22	0	0	0	22	0.0	0.0	1.0	NA	51.477	0.0	no_CDS_signal
ENST00000243314.5	MAGEA9		22	0	0	0	22	0.0	0.0	1.0	NA	50.3659	0.0	no_CDS_signal
ENST00000243389.8	SLC36A1		22	0	0	0	22	0.0	0.0	1.0	NA	51.5892	0.0	no_CDS_signal
ENST00000243643.9	ZNF415		22	0	0	0	22	0.0	0.0	1.0	NA	51.5815	0.0	no_CDS_signal
ENST00000243644.9	ZNF350		22	0	0	0	22	0.0	0.0	1.0	NA	51.0886	0.0	no_CDS_signal
ENST00000244336.10	CEACAM8		22	0	0	0	22	0.0	0.0	1.0	NA	50.9789	0.0	no_CDS_signal
ENST00000244458.7	PACSIN1		22	0	0	0	22	0.0	0.0	1.0	NA	50.5149	0.0	no_CDS_signal
ENST00000244576.9	ZNF391		22	0	0	0	22	0.0	0.0	1.0	NA	50.3205	0.0	no_CDS_signal
ENST00000244766.7	NRN1		22	0	0	0	22	0.0	0.0	1.0	NA	51.3448	0.0	no_CDS_signal
ENST00000245105.8	SH3TC1		22	0	0	0	22	0.0	0.0	1.0	NA	51.5688	0.0	no_CDS_signal
ENST00000245255.7	PIWIL1		22	0	0	0	22	0.0	0.0	1.0	NA	51.0367	0.0	no_CDS_signal
ENST00000245451.9	BMP4		22	0	0	0	22	0.0	0.0	1.0	NA	51.4174	0.0	no_CDS_signal
ENST00000245503.10	MYH2		22	0	0	0	22	0.0	0.0	1.0	NA	48.7157	0.0	no_CDS_signal
ENST00000245564.8	MSTO1		22	0	0	0	22	0.0	0.0	1.0	NA	51.5817	0.0	no_CDS_signal
ENST00000245787.9	INSIG2		22	0	0	0	22	0.0	0.0	1.0	NA	50.4954	0.0	no_CDS_signal
ENST00000246012.2	CST8		22	0	0	0	22	0.0	0.0	1.0	NA	51.4524	0.0	no_CDS_signal
ENST00000246071.8	SNRPB2	snRNP	22	0	0	0	22	0.0	0.0	1.0	NA	51.0793	0.0	no_CDS_signal
ENST00000246194.8	RALY		22	0	0	0	22	0.0	0.0	1.0	NA	50.0447	0.0	no_CDS_signal
ENST00000246229.5	PLAGL2		22	0	0	0	22	0.0	0.0	1.0	NA	50.0479	0.0	no_CDS_signal
ENST00000246553.4	FFAR1		22	0	0	0	22	0.0	0.0	1.0	NA	50.0417	0.0	no_CDS_signal
ENST00000246896.8	HTN1		20	0	0	0	20	0.0	0.0	1.0	NA	51.42	0.0	no_CDS_signal
ENST00000246949.10	DNASE1		22	0	0	0	22	0.0	0.0	1.0	NA	52.0767	0.0	no_CDS_signal
ENST00000247191.7	DLGAP5		22	0	0	0	22	0.0	0.0	1.0	NA	51.0114	0.0	no_CDS_signal
ENST00000247829.8	TSPAN8		22	0	0	0	22	0.0	0.0	1.0	NA	51.449	0.0	no_CDS_signal
ENST00000248089.8	HCFC1R1		22	0	0	0	22	0.0	0.0	1.0	NA	51.4751	0.0	no_CDS_signal
ENST00000248484.9	TNFRSF19		22	0	0	0	22	0.0	0.0	1.0	NA	50.4029	0.0	no_CDS_signal
ENST00000248572.10	GNGT1		22	0	0	0	22	0.0	0.0	1.0	NA	51.4644	0.0	no_CDS_signal
ENST00000248668.5	LRFN1		22	0	0	0	22	0.0	0.0	1.0	NA	50.4829	0.0	no_CDS_signal
ENST00000248924.11	GCAT		22	0	0	0	22	0.0	0.0	1.0	NA	52.3195	0.0	no_CDS_signal
ENST00000249786.9	SERF2		22	0	0	0	22	0.0	0.0	1.0	NA	51.4913	0.0	no_CDS_signal
ENST00000249822.9	ARPP19		22	0	0	0	22	0.0	0.0	1.0	NA	50.0854	0.0	no_CDS_signal
ENST00000249842.8	ISLR		22	0	0	0	22	0.0	0.0	1.0	NA	51.0296	0.0	no_CDS_signal
ENST00000249887.3	ACKR4		22	0	0	0	22	0.0	0.0	1.0	NA	51.0453	0.0	no_CDS_signal
ENST00000250024.9	E2F8		22	0	0	0	22	0.0	0.0	1.0	NA	50.5945	0.0	no_CDS_signal
ENST00000250076.8	ZNF232		22	0	0	0	22	0.0	0.0	1.0	NA	52.1692	0.0	no_CDS_signal
ENST00000250360.8	SIGLEC9		22	0	0	0	22	0.0	0.0	1.0	NA	51.8518	0.0	no_CDS_signal
ENST00000250383.11	DHRS2		22	0	0	0	22	0.0	0.0	1.0	NA	51.4573	0.0	no_CDS_signal
ENST00000250693.2	ART1		22	0	0	0	22	0.0	0.0	1.0	NA	51.4637	0.0	no_CDS_signal
ENST00000250823.5	VCY1B		14	0	0	0	14	0.0	0.0	1.0	NA	51.5928	0.0	no_CDS_signal
ENST00000250838.6	CDY2A		22	0	0	0	22	0.0	0.0	1.0	NA	48.6521	0.0	no_CDS_signal
ENST00000251127.11	NALCN		22	0	0	0	22	0.0	0.0	1.0	NA	51.59	0.0	no_CDS_signal
ENST00000251170.12	SEC14L5		22	0	0	0	22	0.0	0.0	1.0	NA	50.3983	0.0	no_CDS_signal
ENST00000251303.11	SLX1A		22	0	0	0	22	0.0	0.0	1.0	NA	51.4491	0.0	no_CDS_signal
ENST00000251363.10	CERS4		22	0	0	0	22	0.0	0.0	1.0	NA	51.4583	0.0	no_CDS_signal
ENST00000251547.10	FBXO44		22	0	0	0	22	0.0	0.0	1.0	NA	50.7454	0.0	no_CDS_signal
ENST00000251822.7	RHOBTB2		22	0	0	0	22	0.0	0.0	1.0	NA	50.4594	0.0	no_CDS_signal
ENST00000251849.9	RAF1		22	0	0	0	22	0.0	0.0	1.0	NA	51.5851	0.0	no_CDS_signal
ENST00000251900.9	SCML2		22	0	0	0	22	0.0	0.0	1.0	NA	50.4441	0.0	no_CDS_signal
ENST00000252029.8	TYMP		22	0	0	0	22	0.0	0.0	1.0	NA	51.4564	0.0	no_CDS_signal
ENST00000252050.9	CUL9		22	0	0	0	22	0.0	0.0	1.0	NA	51.5904	0.0	no_CDS_signal
ENST00000252136.12	TRMT2A		22	0	0	0	22	0.0	0.0	1.0	NA	51.465	0.0	no_CDS_signal
ENST00000252207.10	ZSCAN9		22	0	0	0	22	0.0	0.0	1.0	NA	51.8092	0.0	no_CDS_signal
ENST00000252519.8	ACE2		22	0	0	0	22	0.0	0.0	1.0	NA	51.5855	0.0	no_CDS_signal
ENST00000252595.12	SLC27A1		22	0	0	0	22	0.0	0.0	1.0	NA	50.5981	0.0	no_CDS_signal
ENST00000252597.8	USHBP1		22	0	0	0	22	0.0	0.0	1.0	NA	50.7082	0.0	no_CDS_signal
ENST00000252713.9	ZNF655		22	0	0	0	22	0.0	0.0	1.0	NA	50.2177	0.0	no_CDS_signal
ENST00000253079.11	CCDC62		22	0	0	0	22	0.0	0.0	1.0	NA	51.5667	0.0	no_CDS_signal
